================================================================================
     MEMORY ACCUMULATION AND PERFORMANCE DEGRADATION BENCHMARK     
================================================================================
Connecting to Cassandra...
Connected to the keyspace network_giustino


Starting incremental injection (Batch Size: 2000 users, Max Cap: 1000000).
The test will terminate if latency remains >= 2.0x the baseline for 3 consecutive batches.
--------------------------------------------------------------------------------
[BATCH #119] Inserted 2000 users | Total: 238000 | Payload Size: ~238000 KB | Latency: 877.10 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #120] Inserted 2000 users | Total: 240000 | Payload Size: ~240000 KB | Latency: 948.43 ms | Delta vs Base: 0.20x (Streak: 0/3) | Status: OK
[BATCH #121] Inserted 2000 users | Total: 242000 | Payload Size: ~242000 KB | Latency: 1542.64 ms | Delta vs Base: 0.32x (Streak: 0/3) | Status: OK
[BATCH #122] Inserted 2000 users | Total: 244000 | Payload Size: ~244000 KB | Latency: 845.85 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #123] Inserted 2000 users | Total: 246000 | Payload Size: ~246000 KB | Latency: 781.09 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #124] Inserted 2000 users | Total: 248000 | Payload Size: ~248000 KB | Latency: 846.43 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #125] Inserted 2000 users | Total: 250000 | Payload Size: ~250000 KB | Latency: 832.54 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #126] Inserted 2000 users | Total: 252000 | Payload Size: ~252000 KB | Latency: 1420.02 ms | Delta vs Base: 0.30x (Streak: 0/3) | Status: OK
[BATCH #127] Inserted 2000 users | Total: 254000 | Payload Size: ~254000 KB | Latency: 1155.15 ms | Delta vs Base: 0.24x (Streak: 0/3) | Status: OK
[BATCH #128] Inserted 2000 users | Total: 256000 | Payload Size: ~256000 KB | Latency: 838.36 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #129] Inserted 2000 users | Total: 258000 | Payload Size: ~258000 KB | Latency: 1762.74 ms | Delta vs Base: 0.37x (Streak: 0/3) | Status: OK
[BATCH #130] Inserted 2000 users | Total: 260000 | Payload Size: ~260000 KB | Latency: 4777.25 ms | Delta vs Base: 1.01x (Streak: 0/3) | Status: OK
[BATCH #131] Inserted 2000 users | Total: 262000 | Payload Size: ~262000 KB | Latency: 857.79 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #132] Inserted 2000 users | Total: 264000 | Payload Size: ~264000 KB | Latency: 852.96 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #133] Inserted 2000 users | Total: 266000 | Payload Size: ~266000 KB | Latency: 930.61 ms | Delta vs Base: 0.20x (Streak: 0/3) | Status: OK
[BATCH #134] Inserted 2000 users | Total: 268000 | Payload Size: ~268000 KB | Latency: 2893.93 ms | Delta vs Base: 0.61x (Streak: 0/3) | Status: OK
[BATCH #135] Inserted 2000 users | Total: 270000 | Payload Size: ~270000 KB | Latency: 754.50 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #136] Inserted 2000 users | Total: 272000 | Payload Size: ~272000 KB | Latency: 884.65 ms | Delta vs Base: 0.19x (Streak: 0/3) | Status: OK
[BATCH #137] Inserted 2000 users | Total: 274000 | Payload Size: ~274000 KB | Latency: 757.14 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #138] Inserted 2000 users | Total: 276000 | Payload Size: ~276000 KB | Latency: 747.97 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #139] Inserted 2000 users | Total: 278000 | Payload Size: ~278000 KB | Latency: 824.23 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #140] Inserted 2000 users | Total: 280000 | Payload Size: ~280000 KB | Latency: 835.57 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #141] Inserted 2000 users | Total: 282000 | Payload Size: ~282000 KB | Latency: 1222.06 ms | Delta vs Base: 0.26x (Streak: 0/3) | Status: OK
[BATCH #142] Inserted 2000 users | Total: 284000 | Payload Size: ~284000 KB | Latency: 734.50 ms | Delta vs Base: 0.15x (Streak: 0/3) | Status: OK
[BATCH #143] Inserted 2000 users | Total: 286000 | Payload Size: ~286000 KB | Latency: 767.09 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #144] Inserted 2000 users | Total: 288000 | Payload Size: ~288000 KB | Latency: 868.94 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #145] Inserted 2000 users | Total: 290000 | Payload Size: ~290000 KB | Latency: 1447.06 ms | Delta vs Base: 0.30x (Streak: 0/3) | Status: OK
[BATCH #146] Inserted 2000 users | Total: 292000 | Payload Size: ~292000 KB | Latency: 859.76 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #147] Inserted 2000 users | Total: 294000 | Payload Size: ~294000 KB | Latency: 880.05 ms | Delta vs Base: 0.19x (Streak: 0/3) | Status: OK
[BATCH #148] Inserted 2000 users | Total: 296000 | Payload Size: ~296000 KB | Latency: 776.05 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #149] Inserted 2000 users | Total: 298000 | Payload Size: ~298000 KB | Latency: 760.53 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
